"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.382422450E-1,-1.058231806E-3,-4.982419196E-4,-2.150531393E-3,2.448036935E-3
6.482422450E-1,-1.035874709E-3,-3.864568716E-4,-2.303836634E-3,2.555395970E-3
6.582422450E-1,-1.055037952E-3,-3.853922535E-4,-2.461400349E-3,2.705572757E-3
6.682422450E-1,-8.346616523E-4,-3.843276354E-4,-2.616834594E-3,2.773479962E-3
6.782422450E-1,-8.293385617E-4,-3.768753086E-4,-2.614705358E-3,2.768848417E-3
6.882422450E-1,-5.259220488E-4,-3.736814251E-4,-2.462464850E-3,2.545577527E-3
6.982422450E-1,-5.259220488E-4,-3.736814251E-4,-2.313418081E-3,2.401694199E-3
7.082422450E-1,-2.182469907E-4,-3.694229526E-4,-2.160112839E-3,2.202315269E-3
7.182422450E-1,-2.171823726E-4,-3.619706258E-4,-2.006807830E-3,2.050723917E-3
7.282422450E-1,9.262189269E-5,-3.630352439E-4,-1.854567090E-3,1.892033957E-3
7.382422450E-1,7.984646072E-5,-3.694229526E-4,-1.700197347E-3,1.741700259E-3
7.482422450E-1,3.779399267E-4,-3.662290983E-4,-1.545827487E-3,1.632955896E-3
7.582422450E-1,3.790045448E-4,-3.609060077E-4,-1.391457627E-3,1.486624337E-3
7.682422450E-1,7.015842129E-4,-3.598413896E-4,-1.237087883E-3,1.467001249E-3
7.782422450E-1,6.387716858E-4,-3.566475352E-4,-1.083782641E-3,1.307597623E-3
7.882422450E-1,4.386232176E-4,-3.598413896E-4,-9.315420757E-4,1.090709307E-3
7.982422450E-1,1.479821076E-4,-3.587767715E-4,-7.750429795E-4,8.667820349E-4
8.082422450E-1,-4.471401917E-5,-4.790787716E-5,-6.196085596E-4,6.230644231E-4
8.182422450E-1,-3.119335161E-4,-4.897249528E-5,-4.705618194E-4,5.666826710E-4
8.282422450E-1,-6.302547408E-4,-1.969545992E-4,-3.183212248E-4,7.330351660E-4
8.382422450E-1,-9.017327102E-4,-4.993065377E-4,-1.650160266E-4,1.043867419E-3
8.482422450E-1,-1.119979657E-3,-8.133692900E-4,-1.714037353E-4,1.394741293E-3
8.582422450E-1,-1.119979657E-3,-1.113591949E-3,-1.714037353E-4,1.588653739E-3
8.682422450E-1,-1.613963163E-3,-4.882344976E-3,-6.821017247E-3,8.542156978E-3
8.782422450E-1,-2.058974002E-3,-1.080482267E-2,-1.564884186E-2,1.912772381E-2
8.882422450E-1,-2.854244784E-3,-1.641749777E-2,-2.629929595E-2,3.113412780E-2
8.982422450E-1,-2.996903844E-3,-2.063551918E-2,-3.691035882E-2,4.239316775E-2
9.082422450E-1,-3.773011500E-3,-2.279243805E-2,-4.720948637E-2,5.255917095E-2
9.182422450E-1,-3.453625599E-3,-2.198971622E-2,-5.664094910E-2,6.085780364E-2
9.282422450E-1,-3.148079850E-3,-1.801974885E-2,-6.517600268E-2,6.769440952E-2
9.382422450E-1,-2.834017156E-3,-1.066748705E-2,-7.257830352E-2,7.341278550E-2
9.482422450E-1,-2.530600410E-3,-3.683583345E-4,-7.905331999E-2,7.909467130E-2
9.582422450E-1,-2.221860923E-3,1.362819411E-2,-8.437428623E-2,8.549669302E-2
9.682422450E-1,-1.918444294E-3,3.194922954E-2,-8.823247254E-2,9.385841948E-2
9.782422450E-1,-1.607575454E-3,5.563275516E-2,-9.085143358E-2,1.065437503E-1
9.882422450E-1,-1.327580540E-3,8.328943700E-2,-9.218646586E-2,1.242466791E-1
9.982422450E-1,-1.613963163E-3,1.160371378E-1,-9.413046390E-2,1.494247853E-1
1.008242245E0,-1.835403964E-3,2.559920251E-1,-9.594351053E-2,2.733869837E-1
1.018242245E0,-2.140949713E-3,3.323017955E-1,-9.867426008E-2,3.466492125E-1
1.028242245E0,-2.443301724E-3,4.187063277E-1,-1.017382294E-1,4.308963053E-1
1.038242245E0,-2.761622891E-3,5.129613280E-1,-1.075063422E-1,5.241131216E-1
1.048242245E0,-3.066104138E-3,6.158972979E-1,-1.146701649E-1,6.264887303E-1
1.058242245E0,-3.370585386E-3,7.268891931E-1,-1.243944019E-1,7.374640514E-1
1.068242245E0,-3.679324873E-3,8.472912312E-1,-1.358550340E-1,8.581215287E-1
1.078242245E0,-3.981676884E-3,9.780808091E-1,-1.488284767E-1,9.893471779E-1
1.088242245E0,-3.767688293E-3,1.050900817E0,-1.528069675E-1,1.061958894E0
1.098242245E0,-3.760236083E-3,1.199783564E0,-1.648840010E-1,1.211066254E0
1.108242245E0,-3.758106846E-3,1.363456011E0,-1.766874492E-1,1.374861765E0
1.118242245E0,-3.762365319E-3,1.544874668E0,-1.876966804E-1,1.556239679E0
1.128242245E0,-3.773011500E-3,1.754294872E0,-1.985909194E-1,1.765503636E0
1.138242245E0,-3.710198915E-3,1.999091387E0,-2.078765333E-1,2.009873825E0
1.148242245E0,-3.517502686E-3,2.279757023E0,-2.155503184E-1,2.289927160E0
1.158242245E0,-3.239637008E-3,2.589960575E0,-2.212343216E-1,2.599394333E0
1.168242245E0,-2.944737440E-3,2.929491043E0,-2.250105143E-1,2.938121198E0
1.178242245E0,-2.662613289E-3,3.304339409E0,-2.273931354E-1,3.312155440E0
1.188242245E0,-2.370907692E-3,3.713616371E0,-2.284865081E-1,3.720639496E0
1.198242245E0,-2.085589571E-3,4.159590721E0,-2.283715308E-1,4.165855599E0
1.208242245E0,-1.793883857E-3,4.642873764E0,-2.266223580E-1,4.648401629E0
1.218242245E0,-1.505371998E-3,5.163711071E0,-2.244931161E-1,5.168588923E0
1.228242245E0,-3.055457782E-4,5.735894203E0,-2.155460566E-1,5.739942727E0
1.238242245E0,5.663775373E-4,6.351394176E0,-2.053150684E-1,6.354711841E0
1.248242245E0,1.882247278E-3,7.004905701E0,-1.934626549E-1,7.007576986E0
1.258242245E0,2.359196777E-3,7.688157082E0,-1.826333404E-1,7.690326379E0
1.268242245E0,2.357067540E-3,8.387786865E0,-1.713877618E-1,8.389537998E0
1.278242245E0,2.358132042E-3,9.089479446E0,-1.598398387E-1,9.090885047E0
1.288242245E0,2.363455249E-3,9.785838127E0,-1.486922055E-1,9.786968009E0
1.298242245E0,2.358132042E-3,1.049094486E1,-1.376840472E-1,1.049184858E1
1.308242245E0,2.476305002E-3,1.385150146E1,-1.329667121E-1,1.385213987E1
1.318242245E0,2.816983266E-3,1.462410069E1,-1.229603589E-1,1.462461788E1
1.328242245E0,3.156596795E-3,1.538254070E1,-1.123067066E-1,1.538295099E1
1.338242245E0,3.508985741E-3,1.618738937E1,-9.965477139E-2,1.618769650E1
1.348242245E0,3.847534768E-3,1.700000000E1,-8.609578013E-2,1.700021845E1
1.358242245E0,4.196729977E-3,1.700000000E1,-6.819952279E-2,1.700013732E1
1.368242245E0,4.548054654E-3,1.700000000E1,-4.781738296E-2,1.700006786E1
1.378242245E0,4.890861921E-3,1.700000000E1,-2.400716953E-2,1.700001765E1
1.388242245E0,5.237927660E-3,1.700000000E1,8.719233447E-4,1.700000083E1
1.398242245E0,5.230475683E-3,1.700000000E1,2.630035952E-2,1.700002115E1
1.408242245E0,5.232604686E-3,1.700000000E1,5.161913857E-2,1.700007917E1
1.418242245E0,5.232604686E-3,1.700000000E1,7.597444206E-2,1.700017057E1
1.428242245E0,5.233669188E-3,1.700000000E1,9.991241246E-2,1.700029441E1
1.438242245E0,5.223023240E-3,1.700000000E1,1.212048009E-1,1.700043287E1
1.448242245E0,5.231540184E-3,1.700000000E1,1.390329152E-1,1.700056933E1
1.458242245E0,5.223023240E-3,1.700000000E1,1.538960636E-1,1.700069738E1
1.468242245E0,4.871698562E-3,1.700000000E1,1.649031639E-1,1.700080047E1
1.478242245E0,4.521438852E-3,1.700000000E1,1.741483212E-1,1.700089257E1
1.488242245E0,4.180760588E-3,1.700000000E1,1.805094332E-1,1.700095883E1
1.498242245E0,3.833694849E-3,1.700000000E1,1.830006391E-1,1.700098538E1
1.508242245E0,3.479176434E-3,1.700000000E1,1.809288859E-1,1.700096313E1
1.518242245E0,3.124658251E-3,1.700000000E1,1.761615276E-1,1.700091299E1
1.528242245E0,2.781850751E-3,1.700000000E1,1.674082130E-1,1.700082449E1
1.538242245E0,2.419880126E-3,1.700000000E1,1.582897604E-1,1.700073709E1
1.548242245E0,2.065361710E-3,1.700000000E1,1.467535347E-1,1.700063354E1
