"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.779535490E-1,-2.534851074E0,8.646240234E0,3.324340820E0,9.603862871E0
1.804785490E-1,-2.556457520E0,8.642242432E0,3.369842529E0,9.621832880E0
1.829535490E-1,-2.553131104E0,8.630981445E0,3.415161133E0,9.626819034E0
1.854285490E-1,-2.558502197E0,8.638824463E0,3.457153320E0,9.650239928E0
1.879535490E-1,-2.555267334E0,8.644561768E0,3.521881104E0,9.677886433E0
1.904285490E-1,-2.533111572E0,8.640014648E0,3.572753906E0,9.686644302E0
1.929035490E-1,-2.501831055E0,8.642242432E0,3.611663818E0,9.694927973E0
1.954285490E-1,-2.481658936E0,8.650024414E0,3.654632568E0,9.712769566E0
1.979535490E-1,-2.440460205E0,8.645690918E0,3.713958740E0,9.720972533E0
2.004285490E-1,-2.373077393E0,8.665985107E0,3.755249023E0,9.738207711E0
2.029035490E-1,-2.320465088E0,8.672576904E0,3.793548584E0,9.746238210E0
2.054285490E-1,-2.250915527E0,8.673828125E0,3.820068359E0,9.741398120E0
2.079035490E-1,-2.188354492E0,8.681030273E0,3.837432861E0,9.740383614E0
2.103785490E-1,-2.117187500E0,8.685791016E0,3.842681885E0,9.730963598E0
2.129035490E-1,-2.040283203E0,8.686767578E0,3.837371826E0,9.713295478E0
2.154285490E-1,-1.940429688E0,8.685089111E0,3.832702637E0,9.689460756E0
2.179035490E-1,-1.829772949E0,8.685638428E0,3.808685303E0,9.658906133E0
2.203785490E-1,-1.728424072E0,8.668792725E0,3.771575928E0,9.610421534E0
2.229035490E-1,-1.622131348E0,8.682464600E0,3.745605469E0,9.594063892E0
2.253785490E-1,-1.520385742E0,8.691680908E0,3.711547852E0,9.572485428E0
2.278535490E-1,-1.404205322E0,8.700714111E0,3.662963867E0,9.544187913E0
2.303785490E-1,-1.302734375E0,8.709625244E0,3.609924316E0,9.517680511E0
2.329035490E-1,-1.190826416E0,8.735290527E0,3.544189453E0,9.501823353E0
2.353785490E-1,-1.100250244E0,8.741058350E0,3.463287354E0,9.466309258E0
2.378535490E-1,-1.011077881E0,8.732299805E0,3.376831055E0,9.416917029E0
2.403785490E-1,-9.051818848E-1,8.706695557E0,3.291778564E0,9.352096443E0
2.428535490E-1,-7.908630371E-1,8.665649414E0,3.179748535E0,9.264434406E0
2.453285490E-1,-6.901245117E-1,8.631286621E0,3.064208984E0,9.185028975E0
2.478099550E-1,-6.042480469E-1,8.617645264E0,2.943542480E0,9.126520034E0
2.503349550E-1,-5.204467773E-1,8.604034424E0,2.837799072E0,9.074876131E0
2.528099550E-1,-4.707641602E-1,8.613372803E0,2.731781006E0,9.048449447E0
2.552849550E-1,-4.332885742E-1,8.659759521E0,2.632232666E0,9.061336699E0
2.578099550E-1,-4.078674316E-1,8.738952637E0,2.532592773E0,9.107671227E0
2.602849550E-1,-4.075622559E-1,8.828094482E0,2.454589844E0,9.172042874E0
2.627599550E-1,-4.230041504E-1,8.930725098E0,2.398925781E0,9.256977270E0
2.652349550E-1,-4.438781738E-1,9.028717041E0,2.356140137E0,9.341635595E0
2.677599550E-1,-4.571838379E-1,9.116210938E0,2.329010010E0,9.420117119E0
2.702349550E-1,-4.732666016E-1,9.201446533E0,2.299377441E0,9.496195880E0
2.727099550E-1,-4.845886230E-1,9.256103516E0,2.301055908E0,9.550138047E0
2.752349550E-1,-4.774169922E-1,9.306213379E0,2.306884766E0,9.599752693E0
2.777099550E-1,-4.889526367E-1,9.341705322E0,2.328491211E0,9.639937984E0
2.801849550E-1,-4.909362793E-1,9.396636963E0,2.351409912E0,9.698810918E0
2.826599550E-1,-4.950561523E-1,9.425903320E0,2.386474609E0,9.735912646E0
2.851849550E-1,-5.033874512E-1,9.458221436E0,2.412048340E0,9.773910622E0
2.876599550E-1,-5.204467773E-1,9.487457275E0,2.448425293E0,9.812109703E0
2.901349550E-1,-5.242614746E-1,9.520660400E0,2.491455078E0,9.855210447E0
2.926599550E-1,-5.202026367E-1,9.547546387E0,2.535766602E0,9.892237616E0
2.951349550E-1,-5.403747559E-1,9.569213867E0,2.587188721E0,9.927507461E0
2.976099550E-1,-5.514526367E-1,9.591064453E0,2.638641357E0,9.962682649E0
3.000849550E-1,-5.686340332E-1,9.597351074E0,2.688018799E0,9.982882217E0
3.026099550E-1,-5.725097656E-1,9.599548340E0,2.744781494E0,1.000064604E1
3.050849550E-1,-5.760498047E-1,9.586639404E0,2.821807861E0,1.000989950E1
3.075599550E-1,-5.870666504E-1,9.576629639E0,2.901367188E0,1.002369264E1
3.100849550E-1,-6.177062988E-1,9.544738770E0,2.985321045E0,1.001976751E1
3.125599550E-1,-6.310424805E-1,9.497009277E0,3.068756104E0,1.000043318E1
3.150349550E-1,-6.307678223E-1,9.438842773E0,3.148132324E0,9.969972822E0
3.175099550E-1,-6.157226562E-1,9.364257812E0,3.217559814E0,9.920742408E0
3.200349550E-1,-5.984802246E-1,9.285491943E0,3.281311035E0,9.866384410E0
3.225099550E-1,-5.951538086E-1,9.216369629E0,3.321716309E0,9.814758093E0
3.249849550E-1,-5.788574219E-1,9.144470215E0,3.351348877E0,9.756431249E0
3.275099550E-1,-5.534667969E-1,9.051574707E0,3.354400635E0,9.668988251E0
3.300349550E-1,-5.351562500E-1,8.972564697E0,3.350494385E0,9.592659802E0
3.325099550E-1,-5.200805664E-1,8.895477295E0,3.322967529E0,9.510105851E0
3.349849550E-1,-5.017700195E-1,8.827239990E0,3.281372070E0,9.430765699E0
3.375099550E-1,-4.866943359E-1,8.765655518E0,3.234863281E0,9.356170610E0
3.399849550E-1,-4.815368652E-1,8.723937988E0,3.167694092E0,9.293721409E0
3.424599550E-1,-4.507751465E-1,8.683471680E0,3.104919434E0,9.232897884E0
3.449349550E-1,-4.266967773E-1,8.649902344E0,3.042968750E0,9.179462921E0
3.474599550E-1,-3.853454590E-1,8.624938965E0,2.992919922E0,9.137594483E0
3.499349550E-1,-3.476867676E-1,8.604705811E0,2.939910889E0,9.099721106E0
3.524099550E-1,-2.941284180E-1,8.596984863E0,2.902557373E0,9.078518578E0
3.549349550E-1,-2.328491211E-1,8.579193115E0,2.907470703E0,9.061465616E0
3.574099550E-1,-1.862792969E-1,8.574462891E0,2.921691895E0,9.060485493E0
3.598849550E-1,-1.164855957E-1,8.563537598E0,2.975524902E0,9.066503931E0
3.623599550E-1,-6.271362305E-2,8.546569824E0,3.046691895E0,9.073594671E0
3.648849550E-1,5.615234375E-3,8.546173096E0,3.134552002E0,9.102885387E0
3.673599550E-1,6.555175781E-2,8.542388916E0,3.217559814E0,9.128493665E0
3.698349550E-1,1.446838379E-1,8.547058105E0,3.311004639E0,9.167108998E0
3.723599550E-1,2.167968750E-1,8.547668457E0,3.415740967E0,9.207438476E0
3.748349550E-1,2.786865234E-1,8.559509277E0,3.500549316E0,9.251849046E0
3.773099550E-1,3.691711426E-1,8.563598633E0,3.597290039E0,9.295805748E0
3.797849550E-1,4.353942871E-1,8.572814941E0,3.652465820E0,9.328624270E0
3.823099550E-1,5.070800781E-1,8.587402344E0,3.681976318E0,9.357219610E0
3.847849550E-1,5.721435547E-1,8.604339600E0,3.695404053E0,9.381791903E0
3.872599550E-1,6.126098633E-1,8.642822266E0,3.688079834E0,9.416772293E0
3.897849550E-1,6.637268066E-1,8.668457031E0,3.680053711E0,9.440628999E0
3.922599550E-1,6.795349121E-1,8.695220947E0,3.638061523E0,9.450086067E0
3.947349550E-1,6.768493652E-1,8.738189697E0,3.597229004E0,9.473866199E0
3.972099550E-1,6.426086426E-1,8.796783447E0,3.550964355E0,9.508190824E0
3.997349550E-1,6.266784668E-1,8.822326660E0,3.528167725E0,9.522297049E0
4.022099550E-1,5.990295410E-1,8.828369141E0,3.513732910E0,9.520780275E0
4.046849550E-1,5.701904297E-1,8.798889160E0,3.497039795E0,9.485507625E0
4.072099550E-1,5.472412109E-1,8.754638672E0,3.499969482E0,9.444202327E0
4.096849550E-1,5.236816406E-1,8.695617676E0,3.492675781E0,9.385456480E0
4.121599550E-1,5.115356445E-1,8.642883301E0,3.490814209E0,9.335249558E0
4.146349550E-1,5.032653809E-1,8.552917480E0,3.469451904E0,9.243525842E0
4.171599550E-1,5.007019043E-1,8.451416016E0,3.442626953E0,9.139410014E0
4.196349550E-1,5.035705566E-1,8.370056152E0,3.403839111E0,9.049726183E0
4.221099550E-1,5.055236816E-1,8.296691895E0,3.365600586E0,8.967603799E0
4.246349550E-1,5.137329102E-1,8.232513428E0,3.329925537E0,8.895313537E0
4.271099550E-1,5.465393066E-1,8.159667969E0,3.278137207E0,8.810509073E0
4.295849550E-1,5.812988281E-1,8.089111328E0,3.232299805E0,8.730371838E0
4.320599550E-1,6.357116699E-1,7.999206543E0,3.184478760E0,8.633211431E0
4.345849550E-1,7.028198242E-1,7.916259766E0,3.143035889E0,8.546332487E0
4.370599550E-1,7.772827148E-1,7.813598633E0,3.107360840E0,8.444654132E0
4.395349550E-1,8.329467773E-1,7.717285156E0,3.070983887E0,8.347528529E0
4.420099550E-1,8.829345703E-1,7.630981445E0,3.028076172E0,8.257160322E0
4.445349550E-1,9.172668457E-1,7.565307617E0,2.971801758E0,8.179661576E0
4.470099550E-1,9.292602539E-1,7.510925293E0,2.925415039E0,8.113912529E0
4.494849550E-1,9.234313965E-1,7.473144531E0,2.869873047E0,8.058336431E0
4.519954760E-1,8.778991699E-1,7.463806152E0,2.795959473E0,8.018509750E0
4.545204760E-1,8.361206055E-1,7.458465576E0,2.715209961E0,7.981238723E0
4.569954760E-1,7.630310059E-1,7.499725342E0,2.617095947E0,7.979804992E0
4.594704760E-1,6.946716309E-1,7.544250488E0,2.518402100E0,7.983773121E0
4.619454760E-1,6.235656738E-1,7.584899902E0,2.418273926E0,7.985461130E0
4.644204760E-1,5.548095703E-1,7.632049561E0,2.329986572E0,7.999051918E0
4.668954760E-1,4.866943359E-1,7.680541992E0,2.259582520E0,8.020804812E0
4.693704760E-1,4.132385254E-1,7.735137939E0,2.188964844E0,8.049515023E0
4.718954760E-1,3.789978027E-1,7.775878906E0,2.133178711E0,8.072074300E0
4.743704760E-1,3.614501953E-1,7.822570801E0,2.076446533E0,8.101536298E0
4.768454760E-1,3.731384277E-1,7.830291748E0,2.017425537E0,8.094609746E0
4.793212570E-1,3.865356445E-1,7.841003418E0,1.985260010E0,8.097654087E0
4.817962570E-1,4.223937988E-1,7.879028320E0,1.972869873E0,8.133247773E0
4.842712570E-1,4.710693359E-1,7.912292480E0,1.958221436E0,8.164613267E0
4.867462570E-1,5.375061035E-1,7.960540771E0,1.936065674E0,8.210205386E0
4.892712570E-1,6.256103516E-1,8.010467529E0,1.940979004E0,8.265977126E0
4.917462570E-1,7.012634277E-1,8.077728271E0,1.948455811E0,8.338941448E0
4.942212570E-1,7.714233398E-1,8.156433105E0,1.969238281E0,8.426173175E0
4.967109970E-1,8.735351562E-1,8.250122070E0,2.002990723E0,8.534608935E0
4.991859970E-1,9.776000977E-1,8.349121094E0,2.025726318E0,8.646796638E0
5.016609970E-1,1.088287354E0,8.441589355E0,2.053558350E0,8.755678278E0
5.041359970E-1,1.185424805E0,8.526824951E0,2.098388672E0,8.860880923E0
5.066609970E-1,1.283111572E0,8.588134766E0,2.163452148E0,8.948908272E0
5.091359970E-1,1.371032715E0,8.661682129E0,2.219421387E0,9.046010132E0
5.116109970E-1,1.456207275E0,8.718597412E0,2.319152832E0,9.138542024E0
5.141058930E-1,1.517852783E0,8.771820068E0,2.446166992E0,9.232141536E0
5.165808930E-1,1.543914795E0,8.821685791E0,2.586090088E0,9.321677694E0
5.190558930E-1,1.552215576E0,8.864044189E0,2.753448486E0,9.410745515E0
5.215308930E-1,1.538024902E0,8.899383545E0,2.924346924E0,9.492963342E0
5.240558930E-1,1.517974854E0,8.937988281E0,3.094451904E0,9.579536250E0
5.265308930E-1,1.474182129E0,8.994232178E0,3.262573242E0,9.680589320E0
5.290058930E-1,1.413665771E0,9.021667480E0,3.427124023E0,9.753671827E0
5.314942780E-1,1.342834473E0,9.060668945E0,3.568084717E0,9.830063820E0
5.340192780E-1,1.270111084E0,9.087127686E0,3.687957764E0,9.888887916E0
5.364942780E-1,1.192504883E0,9.121002197E0,3.813354492E0,9.957731743E0
5.389692780E-1,1.127441406E0,9.149749756E0,3.929595947E0,1.002151531E1
5.414442780E-1,1.057281494E0,9.168060303E0,4.012084961E0,1.006320027E1
5.439192780E-1,9.955749512E-1,9.165954590E0,4.088287354E0,1.008563268E1
5.463942780E-1,9.259643555E-1,9.145019531E0,4.157775879E0,1.008840386E1
5.488692780E-1,8.602294922E-1,9.121368408E0,4.212585449E0,1.008390959E1
5.513942780E-1,8.024291992E-1,9.102264404E0,4.257324219E0,1.008067058E1
5.538692780E-1,7.302246094E-1,9.075897217E0,4.278381348E0,1.006030244E1
5.563442780E-1,6.599731445E-1,9.049560547E0,4.287902832E0,1.003574717E1
5.588192780E-1,5.668945312E-1,9.021759033E0,4.243194580E0,9.985900345E0
5.613442780E-1,4.446105957E-1,9.003692627E0,4.186859131E0,9.939514520E0
