"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
4.086261359E0,-4.951817036E-1,-9.903634071E0
4.126261359E0,-5.107662678E-1,-1.021532536E1
4.166261359E0,-5.262979984E-1,-1.052595997E1
4.206261359E0,-5.412190437E-1,-1.082438087E1
4.246261359E0,-5.552140713E-1,-1.110428143E1
4.286261359E0,-5.689648151E-1,-1.137929630E1
4.326261359E0,-5.814227581E-1,-1.162845516E1
4.366261359E0,-5.922068596E-1,-1.184413719E1
4.406261359E0,-6.020477772E-1,-1.204095554E1
4.446261359E0,-6.118972301E-1,-1.223794460E1
4.486261359E0,-6.224118710E-1,-1.244823742E1
4.526261359E0,-6.335784435E-1,-1.267156887E1
4.566261359E0,-6.448652744E-1,-1.289730549E1
4.606261359E0,-6.544944763E-1,-1.308988953E1
4.646261359E0,-6.638025761E-1,-1.327605152E1
4.686261359E0,-6.714864254E-1,-1.342972851E1
4.726261359E0,-6.796968460E-1,-1.359393692E1
4.766261359E0,-6.875851631E-1,-1.375170326E1
4.806261359E0,-6.966791630E-1,-1.393358326E1
4.846261359E0,-7.073763847E-1,-1.414752769E1
4.886261359E0,-7.204568863E-1,-1.440913773E1
4.926261359E0,-7.351934910E-1,-1.470386982E1
4.966261359E0,-7.482667923E-1,-1.496533585E1
5.006261359E0,-7.585827351E-1,-1.517165470E1
5.046261359E0,-7.680938244E-1,-1.536187649E1
5.086261359E0,-7.765761852E-1,-1.553152370E1
5.126261359E0,-7.849263668E-1,-1.569852734E1
5.166261359E0,-7.923374653E-1,-1.584674931E1
5.206261359E0,-7.973974705E-1,-1.594794941E1
5.246261359E0,-7.952682495E-1,-1.590536499E1
5.286261359E0,-7.928328991E-1,-1.585665798E1
5.326261359E0,-7.890683651E-1,-1.578136730E1
5.366261359E0,-7.855303288E-1,-1.571060658E1
5.406261359E0,-7.869110584E-1,-1.573822117E1
5.446261359E0,-7.951533794E-1,-1.590306759E1
5.486261359E0,-8.090557098E-1,-1.618111420E1
5.526261359E0,-8.213887215E-1,-1.642777443E1
